Game Number,Date,Opponent,Result,Runs Scored,Runs Allowed,C,1B,2B,3B,SS,LF,CF,RF,P,DH
112,8-Aug,LAA,W,8,2,Smith,Muncy,Turner,Turner,Seager,Pollock,Taylor,Bellinger,Buehler,
113,10-Aug,PHI,W,5,0,Smith,Muncy,Turner,Taylor,Seager,Pollock,Bellinger,McKinney,Scherzer,
114,11-Aug,PHI,W,8,2,Smith,Muncy,Turner,Taylor,Seager,Pollock,Bellinger,Beaty,Price,
115,12-Aug,PHI,L,1,2,Barnes,Pujols,Turner,Muncy,Seager,Pollock,Taylor,Bellinger,White,
116,13-Aug,NYM,W,6,5,Smith,Muncy,Turner,Taylor,Seager,Pollock,Bellinger,McKinney,Urias,
117,14-Aug,NYM,W,2,1,Smith,Muncy,Turner,Taylor,Seager,Pollock,Bellinger,McKinney,Buehler,
118,15-Aug,NYM,W,14,4,Smith,Muncy,Turner,Turner,Seager,Taylor,Bellinger,McKinney,Scherzer,
119,16-Aug,PIT,W,2,1,Barnes,Pujols,Muncy,Turner,Turner,Pollock,Taylor,McKinney,Bruihl,
120,17-Aug,PIT,W,4,3,Smith,Beaty,Turner,Lux,Seager,Pollock,Bellinger,Taylor,Price,
121,18-Aug,PIT,W,9,0,Smith,Muncy,Lux,Turner,Seager,Pollock,Bellinger,McKinney,Bruihl,
122,19-Aug,NYM,W,4,1,Smith,Muncy,Turner,Turner,Seager,Pollock,Bellinger,Taylor,Knebel,
123,20-Aug,NYM,W,3,2,Barnes,Muncy,Turner,Turner,Seager,Taylor,Bellinger,McKinney,Buehler,
124,21-Aug,NYM,W,4,3,Smith,Pujols,Turner,Muncy,Seager,Pollock,Bellinger,Taylor,Scherzer,
125,22-Aug,NYM,L,2,7,Smith,Muncy,Turner,Turner,Seager,Pollock,Bellinger,Taylor,Price,
126,24-Aug,SDP,W,5,2,Smith,Muncy,Turner,Turner,Seager,Pollock,Bellinger,Taylor,Urias,
127,25-Aug,SDP,W,5,3,Smith,Muncy,Turner,Turner,Seager,Pollock,Bellinger,Taylor,Buehler,
128,26-Aug,SDP,W,4,0,Barnes,McKinney,Turner,Turner,Seager,Pollock,Bellinger,Betts,Scherzer,
129,27-Aug,COL,L,2,4,Smith,Pujols,Turner,Turner,Seager,Pollock,Taylor,Betts,Graterol,
130,28-Aug,COL,W,5,2,Smith,Muncy,Betts,Turner,Turner,Taylor,Bellinger,McKinney,Knebel,
131,29-Aug,COL,L,0,5,Barnes,Muncy,Turner,Taylor,Seager,Pollock,Bellinger,McKinney,White,
132,30-Aug,ATL,W,5,3,Smith,Muncy,Turner,Turner,Seager,Pollock,Taylor,Betts,Urias,
133,31-Aug,ATL,W,3,2,Smith,Muncy,Turner,Turner,Seager,Pollock,Bellinger,Betts,Buehler,
134,1-Sep,ATL,W,4,3,Barnes,Muncy,Turner,Turner,Seager,Pollock,Taylor,Betts,Scherzer,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
